e2e4 b8c6 d2d4 d7d5 e4e5 f7f6
d2d4 d7d5 g1f3 c7c6 c1f4 d8b6 
d2d4 d7d5 g1f3 c7c6 e2e3 g8f6 
d2d4 d7d5 g1f3 c7c6 e2e3 c8f5 
d2d4 d7d5 g1f3 c7c6 e2e3 c8g4 
d2d4 d7d5 g1f3 e7e6 c2c4 g8f6 
d2d4 d7d5 g1f3 e7e6 c2c4 c7c6 
d2d4 d7d5 c1f4 g8f6 e2e3 c7c5 
d2d4 d7d5 c1f4 g8f6 e2e3 e7e6 
d2d4 d7d5 c1f4 c7c5 e2e3 b8c6 
d2d4 d7d5 c1f4 c7c5 e2e3 c5d4 
d2d4 d7d6 e2e4 g8f6 b1c3 g7g6
d2d4 f7f5 g2g3 e7e6 f1g2 g8f6
g1f3 g8f6 b2b3 g7g6 c2c4 f8g7
g1f3 g8f6 b2b3 d7d5 c1b2 e7e6
g1f3 g8f6 c2c4 b7b6 g2g3 c8b7
g1f3 g8f6 c2c4 g7g6 b1c3 f8g7
g1f3 g8f6 c2c4 g7g6 b1c3 d7d5  
g1f3 g8f6 c2c4 g7g6 g2g3 f8g7 
g1f3 g8f6 c2c4 e7e6 g2g3 d7d5 
g1f3 g8f6 c2c4 e7e6 g2g3 b7b6 
g1f3 g8f6 c2c4 e7e6 b1c3 d7d5 
g1f3 g8f6 c2c4 e7e6 b1c3 f8b4 
g1f3 g8f6 c2c4 e7e6 b1c3 c7c5 
g1f3 g8f6 c2c4 e7e6 b1c3 b7b6
g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 
g1f3 g8f6 g2g3 g7g6 b2b3 f8g7 
g1f3 g8f6 g2g3 d7d5 f1g2 c7c6 
g1f3 g8f6 g2g3 d7d5 f1g2 None
g1f3 g8f6 g2g3 g7g6 c2c4 d7d6 
g1f3 d7d5 g2g3 g8f6 f1g2 c7c6 
g1f3 d7d5 g2g3 g8f6 f1g2 None
g1f3 d7d5 g2g3 g8f6 f1g2 g7g6
g1f3 d7d5 d2d4 g8f6 c2c4 e7e6 
g1f3 d7d5 d2d4 g8f6 c2c4 c7c6 
g1f3 d7d5 d2d4 g8f6 c1f4 c7c5 
g1f3 d7d5 d2d4 g8f6 c1f4 None 
g1f3 d7d5 d2d4 c7c6 c2c4 g8f6 
g1f3 d7d5 d2d4 c7c6 c2c4 e7e6
g1f3 d7d5 g2g3 c7c6 f1g2 c8g4 
g1f3 d7d5 g2g3 c7c6 f1g2 g8f6  
g1f3 d7d5 c2c4 c7c6 e2e3 g8f6 
g1f3 d7d5 c2c4 c7c6 d2d4 g8f6 
g1f3 d7d5 c2c4 c7c6 d2d4 None 
g1f3 d7d5 c2c4 e7e6 g2g3 g8f6 
g1f3 d7d5 c2c4 e7e6 g2g3 d5c4 
g1f3 d7d5 c2c4 e7e6 None None 
g1f3 d7d5 c2c4 d5c4 e2e3 c7c5 
b1c3 d7d5 e2e4 d5e4 c3e4 c8f5 
b1c3 d7d5 e2e4 d5d4 c3e4 c8f5 
b1c3 d7d5 e2e4 None None None 
f2f4 d7d5 g2f3 g7g6 g2g3 f8g7 
f2f4 d7d5 g2f3 g8f6 None None 
f2f4 None None None None None 
c2c4 g8f6 b1c3 g7g6 g2g3 f8g7 
c2c4 g8f6 b1c3 g7g6 e2e4 d7d6 
c2c4 g8f6 b1c3 None None None 
c2c4 g8f6 b1c3 d7d5 c4d5 f6d5
c2c4 g8f6 b1c3 e7e5 g1f3 b8c6
c2c4 g8f6 g2g3 g7g6 f1g2 f8g7 
c2c4 g8f6 g2g3 None None None 
c2c4 g8f6 g1f3 g7g6 b1c3 f8g7 
c2c4 g8f6 g1f3 g7g6 b1c3 d7d5 
c2c4 g8f6 g1f3 g7g6 g2g3 f8g7 
c2c4 g8f6 g1f3 e7e6 g2g3 d7d5 
c2c4 g8f6 g1f3 e7e6 g2g3 b7b6 
c2c4 g8f6 g1f3 e7e6 g2g3 a7a6 
c2c4 g8f6 g1f3 e7e6 b1c3 d7d5 
c2c4 g8f6 g1f3 e7e6 b1c3 f8b4 
c2c4 g8f6 g1f3 e7e6 b1c3 None 
c2c4 g8f6 g1f3 c7c5 b1c3 b8c6 
c2c4 g8f6 g1f3 c7c5 b1c3 e7e6 
c2c4 g8f6 g1f3 c7c5 b1c3 None 
c2c4 g8f6 g1f3 c7c5 None None 
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 
c2c4 e7e5 b1c3 g8f6 g2g3 d7d5 
c2c4 e7e5 b1c3 g8f6 g2g3 f8b4 
c2c4 e7e5 b1c3 g8f6 g2g3 c7c6 
c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 
c2c4 e7e5 b1c3 b8c6 g2g3 f7f5 
c2c4 e7e5 b1c3 b8c6 g1f3 g8f6 
c2c4 e7e5 b1c3 b8c6 g1f3 f7f5 
c2c4 e7e5 b1c3 b8c6 g1f3 g7g6 
c2c4 e7e5 g2g3 g8f6 f1g2 d7d5 
c2c4 e7e5 g2g3 g8f6 f1g2 c7c6 
c2c4 e7e5 g2g3 g8f6 f1g2 b8c6 
c2c4 e7e5 g2g3 None None None 
c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 
c2c4 e7e6 g1f3 d7d5 None None 
c2c4 e7e6 g1f3 g8f6 g2g3 d7d5 
c2c4 e7e6 g1f3 g8f6 b1c3 d7d5 
c2c4 e7e6 g1f3 g8f6 b1c3 None 
c2c4 e7e6 b1c3 d7d5 d2d4 g8f6 
c2c4 e7e6 b1c3 d7d5 d2d4 c7c6 
c2c4 e7e6 b1c3 d7d5 d2d4 f8e7 
c2c4 e7e6 d2d4 d7d5 b1c3 c7c5
c2c4 c7c5 g1f3 b8c6 b1c3 g7g6 
c2c4 c7c5 g1f3 b8c6 b1c3 e7e5 
c2c4 c7c5 g1f3 b8c6 b1c3 g8f6 
c2c4 c7c5 g1f3 b8c6 d2d4 c5d4 
c2c4 c7c5 g1f3 g8f6 b1c3 b8c6 
c2c4 c7c5 g1f3 g8f6 b1c3 e7e6 
c2c4 c7c5 g1f3 g8f6 b1c3 None 
c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 
c2c4 c7c5 b1c3 b8c6 g1f3 g7g6 
c2c4 c7c5 b1c3 b8c6 g1f3 e7e5 
c2c4 c7c5 b1c3 b8c6 g1f3 g8f6 
c2c4 c7c5 b1c3 g7g6 g2g3 f8g7 
c2c4 c7c5 b1c3 g8f6 g2g3 d7d5 
c2c4 c7c5 b1c3 g8f6 g2g3 e7e6 
c2c4 c7c5 b1c3 g8f6 g2g3 g7g6 
c2c4 c7c5 b1c3 g8f6 g1f3 None
